Wavelength [nm],Sitka,Broadleaf,Grass
1020,1910.944,2801.832,3816.8
1021,1913.156,2802.808,3822.76
1022,1915.088,2803.904,3826.88
1023,1916.796,2804.96,3829.52
1024,1918.98,2805.712,3831.56
1025,1921.276,2806.52,3834.44
1026,1923.152,2807.464,3836.92
1027,1924.86,2808.368,3839.08
1028,1926.82,2809.344,3843.64
1029,1928.668,2810.304,3847.6
1030,1930.124,2811.328,3850.48
1031,1932,2812.144,3854
1032,1934.408,2812.768,3859.12
1033,1936.2,2813.664,3862.52
1034,1937.684,2814.64,3865
1035,1939.336,2815.568,3867.56
1036,1940.708,2816.464,3868.92
1037,1942.248,2817.32,3869.04
1038,1944.096,2817.896,3870.32
1039,1946,2818.496,3872.8
1040,1947.82,2819.464,3875.72
1041,1949.472,2820.096,3879.32
1042,1951.18,2820.688,3883.48
1043,1952.692,2821.544,3886.76
1044,1954.036,2822.328,3889.32
1045,1955.576,2823.312,3892.68
1046,1957.116,2824.112,3895.12
1047,1958.6,2825.024,3896.4
1048,1960.14,2825.608,3897.56
1049,1961.708,2826.304,3899.76
1050,1963.136,2827.016,3901.88
1051,1964.48,2827.632,3904
1052,1965.684,2828.376,3905.72
1053,1966.832,2828.888,3908.8
1054,1968.12,2829.112,3910.64
1055,1969.324,2829.704,3912.48
1056,1970.332,2830.544,3915.88
1057,1971.536,2831.272,3918.4
1058,1972.572,2831.992,3922.24
1059,1973.384,2832.576,3926.4
1060,1974.42,2833.192,3928.68
1061,1975.596,2833.72,3929.92
1062,1976.8,2834.256,3929.96
1063,1977.836,2834.736,3930.8
1064,1978.732,2835.12,3932.64
1065,1979.46,2835.344,3934.92
1066,1980.02,2835.536,3938.08
1067,1980.524,2835.92,3939.36
1068,1981.196,2836.488,3939.2
1069,1981.924,2836.944,3939.56
1070,1982.568,2837.304,3940.96
1071,1983.296,2837.664,3943.48
1072,1983.8,2837.976,3944.84
1073,1983.996,2838.416,3945.88
1074,1984.248,2838.752,3947.64
1075,1984.472,2838.96,3947.88
1076,1984.584,2839.048,3946
1077,1984.724,2839.216,3946
1078,1984.948,2839.288,3946.68
1079,1984.892,2839.408,3946.4
1080,1984.752,2839.672,3946.32
1081,1984.836,2839.808,3946.64
1082,1984.864,2839.752,3946.68
1083,1984.892,2839.744,3945.92
1084,1984.808,2839.784,3945.96
1085,1984.416,2839.656,3946.48
1086,1983.912,2839.624,3945
1087,1983.212,2839.6,3943.92
1088,1982.652,2839.456,3943.04
1089,1982.148,2839.24,3941.76
1090,1981.672,2839.056,3940.28
1091,1981.336,2838.776,3940.28
1092,1980.832,2838.52,3938.36
1093,1980.356,2838.304,3934.64
1094,1979.516,2837.936,3931.4
1095,1978.648,2837.624,3930.44
1096,1977.64,2837.296,3928.32
1097,1976.492,2836.896,3925.76
1098,1975.54,2836.56,3924.44
1099,1974.504,2835.944,3922.4
1100,1973.328,2835.384,3919.2
1101,1972.096,2834.88,3916.16
1102,1970.724,2834.072,3913.24
1103,1969.408,2833.472,3910.32
1104,1968.092,2832.976,3906.88
1105,1966.72,2832.368,3903.4
1106,1965.432,2831.76,3899.72
1107,1964.004,2831.208,3896.64
1108,1962.408,2830.648,3893.6
1109,1960.84,2829.944,3890.04
1110,1959.272,2829.216,3886.08
1111,1957.564,2828.416,3884.2
1112,1955.744,2827.48,3881.76
1113,1953.756,2826.64,3877.64
1114,1951.74,2825.952,3874.32
1115,1949.724,2825.104,3871.08
1116,1947.456,2824,3866
1117,1945.02,2822.92,3860.72
1118,1942.556,2821.712,3855.72
1119,1940.008,2820.344,3851.12
1120,1937.012,2818.888,3845.32
1121,1933.96,2817.512,3839.28
1122,1930.46,2815.824,3832.56
1123,1926.456,2813.936,3825.68
1124,1922.228,2811.944,3817.24
1125,1917.888,2809.88,3807.84
1126,1912.988,2807.504,3798.12
1127,1907.78,2804.92,3788.04
1128,1901.956,2802.216,3775.4
1129,1895.796,2799.256,3763.28
1130,1889.216,2796.064,3751.4
1131,1881.796,2792.4,3736.36
1132,1873.928,2788.464,3720.08
1133,1865.584,2784.288,3703.56
1134,1856.484,2779.72,3686
1135,1847.244,2775.024,3667.2
1136,1837.696,2770.232,3647.96
1137,1827.756,2765.12,3627.76
1138,1817.48,2759.792,3605.4
1139,1806.868,2754.16,3583.8
1140,1795.724,2748.128,3561.96
1141,1784.636,2742.128,3540.24
1142,1772.988,2735.8,3518
1143,1761.704,2729.56,3496.48
1144,1750.392,2723.248,3475.4
1145,1739.276,2717.024,3454.4
1146,1728.552,2710.856,3433.32
1147,1718.22,2704.736,3413.28
1148,1708.084,2698.808,3394.48
1149,1698.144,2692.976,3376.44
1150,1688.736,2687.44,3359.32
1151,1679.468,2681.936,3343.2
1152,1670.928,2676.96,3328.36
1153,1662.864,2672.48,3314.12
1154,1655.388,2668.064,3301.36
1155,1648.444,2663.952,3290.12
1156,1641.92,2660.04,3280
1157,1635.872,2656.168,3271.04
1158,1630.356,2652.752,3262.88
1159,1625.344,2649.848,3256.44
1160,1620.64,2646.976,3249.92
1161,1616.58,2644.272,3243.12
1162,1612.66,2641.84,3237.92
1163,1609.02,2639.624,3233.64
1164,1605.548,2637.52,3230.36
1165,1602.468,2635.648,3226.92
1166,1599.752,2634.112,3224.6
1167,1597.12,2632.568,3221.96
1168,1594.824,2631.168,3219.04
1169,1592.5,2629.72,3216.64
1170,1590.316,2628.4,3215.2
1171,1588.188,2627.016,3212.88
1172,1586.2,2625.592,3209.6
1173,1584.268,2624.248,3207.68
1174,1582.588,2622.944,3206.12
1175,1580.684,2621.728,3204.84
1176,1578.78,2620.624,3205.36
1177,1576.848,2619.496,3204.4
1178,1574.636,2618.448,3202.56
1179,1572.592,2617.344,3200.88
1180,1570.632,2616.2,3198.96
1181,1568.728,2615,3196.2
1182,1566.796,2613.888,3194.52
1183,1564.92,2612.832,3193.44
1184,1562.988,2611.712,3191.88
1185,1561,2610.568,3190.6
1186,1559.096,2609.52,3188.96
1187,1557.136,2608.384,3186.84
1188,1555.4,2607.464,3185.24
1189,1553.664,2606.768,3183.56
1190,1552.152,2606.024,3182.24
1191,1550.864,2605.344,3181.28
1192,1549.66,2604.72,3180.32
1193,1548.596,2604.064,3179.36
