"","wavelength","lime_mean_reflectance"
"1180",1180,0.22885
"1181",1181,0.22916
"1182",1182,0.22914
"1183",1183,0.22878
"1184",1184,0.22858
"1185",1185,0.22849
"1186",1186,0.22865
"1187",1187,0.2287
"1188",1188,0.22866
"1189",1189,0.22883
"1190",1190,0.22895
"1191",1191,0.22898
"1192",1192,0.22937
"1193",1193,0.22955
"1194",1194,0.2294
"1195",1195,0.22941
"1196",1196,0.22941
"1197",1197,0.22945
"1198",1198,0.2296
"1199",1199,0.22957
"1200",1200,0.22955
"1201",1201,0.22945
"1202",1202,0.22902
"1203",1203,0.22929
"1204",1204,0.22981
"1205",1205,0.22997
"1206",1206,0.23027
"1207",1207,0.23044
"1208",1208,0.23007
"1209",1209,0.22974
"1210",1210,0.2297
"1211",1211,0.22937
"1212",1212,0.22942
"1213",1213,0.22984
"1214",1214,0.22987
"1215",1215,0.22971
"1216",1216,0.22966
"1217",1217,0.22952
"1218",1218,0.22914
"1219",1219,0.22933
"1220",1220,0.22931
"1221",1221,0.22894
"1222",1222,0.22897
"1223",1223,0.22888
"1224",1224,0.22871
"1225",1225,0.22886
"1226",1226,0.2286
"1227",1227,0.22814
"1228",1228,0.22773
"1229",1229,0.22739
"1230",1230,0.22748
"1231",1231,0.22747
"1232",1232,0.2272
"1233",1233,0.22689
"1234",1234,0.22653
"1235",1235,0.22621
"1236",1236,0.22594
"1237",1237,0.22555
"1238",1238,0.22526
"1239",1239,0.22458
"1240",1240,0.22367
"1241",1241,0.22341
"1242",1242,0.22299
"1243",1243,0.22249
"1244",1244,0.22245
"1245",1245,0.22171
"1246",1246,0.22099
"1247",1247,0.22069
"1248",1248,0.22003
"1249",1249,0.21978
"1250",1250,0.2199
"1251",1251,0.21983
"1252",1252,0.21961
"1253",1253,0.21947
"1254",1254,0.21896
"1255",1255,0.21833
"1256",1256,0.21797
"1257",1257,0.21784
"1258",1258,0.21739
"1259",1259,0.21691
"1260",1260,0.2163
"1261",1261,0.21539
"1262",1262,0.21488
"1263",1263,0.21436
"1264",1264,0.21434
"1265",1265,0.21427
"1266",1266,0.21398
"1267",1267,0.2137
"1268",1268,0.21337
"1269",1269,0.21312
"1270",1270,0.21258
"1271",1271,0.21182
"1272",1272,0.21115
"1273",1273,0.2105
"1274",1274,0.20993
"1275",1275,0.20998
"1276",1276,0.20972
"1277",1277,0.20885
"1278",1278,0.20837
"1279",1279,0.20779
"1280",1280,0.20695
"1281",1281,0.20638
"1282",1282,0.20614
"1283",1283,0.20582
"1284",1284,0.20558
"1285",1285,0.20553
"1286",1286,0.20586
"1287",1287,0.20554
"1288",1288,0.20469
"1289",1289,0.20395
"1290",1290,0.20267
"1291",1291,0.20253
"1292",1292,0.20211
"1293",1293,0.20225
"1294",1294,0.2026
"1295",1295,0.20185
"1296",1296,0.20148
"1297",1297,0.20093
"1298",1298,0.19999
"1299",1299,0.19958
"1300",1300,0.19913
"1301",1301,0.19865
"1302",1302,0.19821
"1303",1303,0.19784
"1304",1304,0.19712
"1305",1305,0.19641
"1306",1306,0.19628
"1307",1307,0.1958
"1308",1308,0.19558
"1309",1309,0.19565
"1310",1310,0.19526
"1311",1311,0.19431
"1312",1312,0.19387
"1313",1313,0.19333
"1314",1314,0.1931
"1315",1315,0.19339
"1316",1316,0.1933
"1317",1317,0.19315
"1318",1318,0.19294
"1319",1319,0.19243
"1320",1320,0.19208
"1321",1321,0.19164
"1322",1322,0.19196
"1323",1323,0.19144
"1324",1324,0.19092
"1325",1325,0.19058
"1326",1326,0.18946
