"","wavelength","haz_mean_reflectance"
"1141",1141,0.23398
"1142",1142,0.234195
"1143",1143,0.23429
"1144",1144,0.23446
"1145",1145,0.234635
"1146",1146,0.23489
"1147",1147,0.235035
"1148",1148,0.23538
"1149",1149,0.235655
"1150",1150,0.235795
"1151",1151,0.23613
"1152",1152,0.236455
"1153",1153,0.236615
"1154",1154,0.236845
"1155",1155,0.23711
"1156",1156,0.23715
"1157",1157,0.237275
"1158",1158,0.23753
"1159",1159,0.23765
"1160",1160,0.237705
"1161",1161,0.2378
"1162",1162,0.23787
"1163",1163,0.237835
"1164",1164,0.23796
"1165",1165,0.237915
"1166",1166,0.238065
"1167",1167,0.238365
"1168",1168,0.238375
"1169",1169,0.23865
"1170",1170,0.238965
"1171",1171,0.238995
"1172",1172,0.23917
"1173",1173,0.23931
"1174",1174,0.23937
"1175",1175,0.23949
"1176",1176,0.23951
"1177",1177,0.239375
"1178",1178,0.23949
"1179",1179,0.239605
"1180",1180,0.23985
"1181",1181,0.24038
"1182",1182,0.24093
"1183",1183,0.241375
"1184",1184,0.241615
"1185",1185,0.241625
"1186",1186,0.24184
"1187",1187,0.24214
"1188",1188,0.24235
"1189",1189,0.242745
"1190",1190,0.2429
"1191",1191,0.24285
"1192",1192,0.24296
"1193",1193,0.242925
"1194",1194,0.24311
"1195",1195,0.243355
"1196",1196,0.24376
"1197",1197,0.243955
"1198",1198,0.24417
"1199",1199,0.244325
"1200",1200,0.244445
"1201",1201,0.24468
"1202",1202,0.24497
"1203",1203,0.245245
"1204",1204,0.24546
"1205",1205,0.245435
"1206",1206,0.24549
"1207",1207,0.245945
"1208",1208,0.246025
"1209",1209,0.2462
"1210",1210,0.24673
"1211",1211,0.2464
"1212",1212,0.246175
"1213",1213,0.246215
"1214",1214,0.24601
"1215",1215,0.24546
"1216",1216,0.24549
"1217",1217,0.24575
"1218",1218,0.24579
"1219",1219,0.24639
"1220",1220,0.246565
"1221",1221,0.246315
"1222",1222,0.246235
"1223",1223,0.24592
"1224",1224,0.24561
"1225",1225,0.24558
"1226",1226,0.245585
"1227",1227,0.24563
"1228",1228,0.24555
"1229",1229,0.245405
"1230",1230,0.24538
"1231",1231,0.244955
"1232",1232,0.244625
"1233",1233,0.24458
"1234",1234,0.24376
"1235",1235,0.24323
"1236",1236,0.24301
"1237",1237,0.24256
"1238",1238,0.241755
"1239",1239,0.24158
"1240",1240,0.241365
"1241",1241,0.2405
"1242",1242,0.24007
"1243",1243,0.23916
"1244",1244,0.23844
"1245",1245,0.23818
"1246",1246,0.23762
"1247",1247,0.237545
"1248",1248,0.23703
"1249",1249,0.23603
"1250",1250,0.23541
"1251",1251,0.23466
"1252",1252,0.23415
"1253",1253,0.23403
"1254",1254,0.23347
"1255",1255,0.232785
"1256",1256,0.232285
"1257",1257,0.23185
"1258",1258,0.23121
"1259",1259,0.230685
"1260",1260,0.23
"1261",1261,0.22898
"1262",1262,0.228175
"1263",1263,0.22743
"1264",1264,0.226635
"1265",1265,0.22622
"1266",1266,0.225615
"1267",1267,0.22463
"1268",1268,0.223985
"1269",1269,0.22322
"1270",1270,0.22232
"1271",1271,0.22188
"1272",1272,0.22164
"1273",1273,0.22109
"1274",1274,0.22058
"1275",1275,0.220355
"1276",1276,0.22006
"1277",1277,0.220095
