"","wavelength","rowan_mean_reflectance"
"1009",1009,0.36847
"1010",1010,0.36931
"1011",1011,0.37002
"1012",1012,0.37068
"1013",1013,0.37174
"1014",1014,0.37244
"1015",1015,0.37313
"1016",1016,0.37375
"1017",1017,0.37444
"1018",1018,0.3751
"1019",1019,0.37563
"1020",1020,0.37628
"1021",1021,0.3766
"1022",1022,0.37643
"1023",1023,0.37665
"1024",1024,0.37683
"1025",1025,0.37721
"1026",1026,0.37794
"1027",1027,0.37823
"1028",1028,0.37829
"1029",1029,0.37804
"1030",1030,0.3779
"1031",1031,0.37743
"1032",1032,0.37728
"1033",1033,0.37739
"1034",1034,0.3773
"1035",1035,0.37727
"1036",1036,0.37717
"1037",1037,0.37664
"1038",1038,0.37627
"1039",1039,0.37585
"1040",1040,0.37538
"1041",1041,0.37502
"1042",1042,0.3748
"1043",1043,0.37442
"1044",1044,0.37401
"1045",1045,0.37362
"1046",1046,0.37326
"1047",1047,0.37287
"1048",1048,0.37249
"1049",1049,0.37201
"1050",1050,0.37149
"1051",1051,0.37077
"1052",1052,0.3703
"1053",1053,0.36988
"1054",1054,0.36961
"1055",1055,0.3696
"1056",1056,0.36947
"1057",1057,0.36938
"1058",1058,0.36922
"1059",1059,0.36902
"1060",1060,0.3689
"1061",1061,0.36876
"1062",1062,0.36865
"1063",1063,0.36875
"1064",1064,0.36859
"1065",1065,0.36847
"1066",1066,0.36849
"1067",1067,0.3684
"1068",1068,0.36816
"1069",1069,0.36817
"1070",1070,0.36831
"1071",1071,0.36838
"1072",1072,0.36857
"1073",1073,0.3687
"1074",1074,0.36885
"1075",1075,0.36878
"1076",1076,0.36869
"1077",1077,0.3687
"1078",1078,0.36857
"1079",1079,0.36854
"1080",1080,0.36846
"1081",1081,0.36847
"1082",1082,0.36844
"1083",1083,0.36824
"1084",1084,0.36819
"1085",1085,0.36831
"1086",1086,0.36827
"1087",1087,0.3681
"1088",1088,0.36833
"1089",1089,0.3681
"1090",1090,0.36774
"1091",1091,0.36767
"1092",1092,0.36743
"1093",1093,0.36754
"1094",1094,0.36777
"1095",1095,0.36776
"1096",1096,0.36761
"1097",1097,0.36758
"1098",1098,0.3674
"1099",1099,0.36741
"1100",1100,0.36762
"1101",1101,0.36776
"1102",1102,0.36781
"1103",1103,0.36782
"1104",1104,0.36803
"1105",1105,0.36828
"1106",1106,0.36837
"1107",1107,0.36854
"1108",1108,0.36847
"1109",1109,0.36808
"1110",1110,0.36802
"1111",1111,0.36814
"1112",1112,0.36817
"1113",1113,0.36827
"1114",1114,0.3684
"1115",1115,0.36858
"1116",1116,0.36842
"1117",1117,0.36856
"1118",1118,0.36908
"1119",1119,0.36922
"1120",1120,0.3694
"1121",1121,0.36953
"1122",1122,0.36914
"1123",1123,0.36899
"1124",1124,0.36925
"1125",1125,0.36947
"1126",1126,0.36989
"1127",1127,0.37022
"1128",1128,0.37087
"1129",1129,0.3708
"1130",1130,0.37027
"1131",1131,0.3699
"1132",1132,0.36948
"1133",1133,0.36905
"1134",1134,0.36956
"1135",1135,0.37009
"1136",1136,0.37008
"1137",1137,0.3703
"1138",1138,0.37038
"1139",1139,0.37017
"1140",1140,0.37013
"1141",1141,0.37026
"1142",1142,0.37044
"1143",1143,0.37058
"1144",1144,0.37093
"1145",1145,0.37159
"1146",1146,0.37201
"1147",1147,0.37217
"1148",1148,0.37242
"1149",1149,0.37258
"1150",1150,0.37272
"1151",1151,0.37314
"1152",1152,0.37363
"1153",1153,0.37419
"1154",1154,0.37468
"1155",1155,0.37522
"1156",1156,0.37562
"1157",1157,0.37552
"1158",1158,0.37562
"1159",1159,0.37597
"1160",1160,0.3764
"1161",1161,0.37686
"1162",1162,0.37763
"1163",1163,0.37839
"1164",1164,0.37878
"1165",1165,0.37911
"1166",1166,0.37955
"1167",1167,0.37983
"1168",1168,0.3803
"1169",1169,0.38107
"1170",1170,0.38173
"1171",1171,0.38215
