"","wavelength","ash_mean_reflectance"
"1007",1007,0.34104
"1008",1008,0.34222
"1009",1009,0.34342
"1010",1010,0.34444
"1011",1011,0.34518
"1012",1012,0.34605
"1013",1013,0.34693
"1014",1014,0.34789
"1015",1015,0.34882
"1016",1016,0.34999
"1017",1017,0.35075
"1018",1018,0.35121
"1019",1019,0.35181
"1020",1020,0.35232
"1021",1021,0.35283
"1022",1022,0.35352
"1023",1023,0.354
"1024",1024,0.35434
"1025",1025,0.35454
"1026",1026,0.35453
"1027",1027,0.35471
"1028",1028,0.35487
"1029",1029,0.35497
"1030",1030,0.35512
"1031",1031,0.35544
"1032",1032,0.35548
"1033",1033,0.35541
"1034",1034,0.35532
"1035",1035,0.35502
"1036",1036,0.35483
"1037",1037,0.35474
"1038",1038,0.35443
"1039",1039,0.35415
"1040",1040,0.35389
"1041",1041,0.35354
"1042",1042,0.35308
"1043",1043,0.35272
"1044",1044,0.35235
"1045",1045,0.35196
"1046",1046,0.35168
"1047",1047,0.35126
"1048",1048,0.3507
"1049",1049,0.35024
"1050",1050,0.34976
"1051",1051,0.34929
"1052",1052,0.34897
"1053",1053,0.34871
"1054",1054,0.3485
"1055",1055,0.34837
"1056",1056,0.34821
"1057",1057,0.34806
"1058",1058,0.34806
"1059",1059,0.34818
"1060",1060,0.34832
"1061",1061,0.34866
"1062",1062,0.34884
"1063",1063,0.34895
"1064",1064,0.34885
"1065",1065,0.34879
"1066",1066,0.34881
"1067",1067,0.34886
"1068",1068,0.34897
"1069",1069,0.34914
"1070",1070,0.3493
"1071",1071,0.34953
"1072",1072,0.34989
"1073",1073,0.35018
"1074",1074,0.35047
"1075",1075,0.35096
"1076",1076,0.35114
"1077",1077,0.3512
"1078",1078,0.35139
"1079",1079,0.35135
"1080",1080,0.35141
"1081",1081,0.35165
"1082",1082,0.35182
"1083",1083,0.35195
"1084",1084,0.35206
"1085",1085,0.35218
"1086",1086,0.3523
"1087",1087,0.35239
"1088",1088,0.35244
"1089",1089,0.35261
"1090",1090,0.35278
"1091",1091,0.35298
"1092",1092,0.35337
"1093",1093,0.35382
"1094",1094,0.3541
"1095",1095,0.3543
"1096",1096,0.35445
"1097",1097,0.35452
"1098",1098,0.35428
"1099",1099,0.3544
"1100",1100,0.35459
"1101",1101,0.35497
"1102",1102,0.35538
"1103",1103,0.35595
"1104",1104,0.3564
"1105",1105,0.35637
"1106",1106,0.35648
"1107",1107,0.35673
"1108",1108,0.35687
"1109",1109,0.35697
"1110",1110,0.35709
"1111",1111,0.35713
"1112",1112,0.35739
"1113",1113,0.35769
"1114",1114,0.35811
"1115",1115,0.35887
"1116",1116,0.35926
"1117",1117,0.35952
"1118",1118,0.35977
"1119",1119,0.3598
"1120",1120,0.36017
"1121",1121,0.3607
"1122",1122,0.36122
"1123",1123,0.36199
"1124",1124,0.36237
"1125",1125,0.36268
"1126",1126,0.36281
"1127",1127,0.36312
"1128",1128,0.36345
"1129",1129,0.36369
"1130",1130,0.36399
"1131",1131,0.36412
"1132",1132,0.36414
"1133",1133,0.36406
"1134",1134,0.36409
"1135",1135,0.36425
"1136",1136,0.3645
"1137",1137,0.36471
"1138",1138,0.36504
"1139",1139,0.36532
"1140",1140,0.36542
"1141",1141,0.36577
"1142",1142,0.3661
"1143",1143,0.36653
"1144",1144,0.36672
"1145",1145,0.36686
"1146",1146,0.36697
"1147",1147,0.36695
"1148",1148,0.36712
"1149",1149,0.36788
"1150",1150,0.36832
"1151",1151,0.36848
"1152",1152,0.36878
"1153",1153,0.36863
"1154",1154,0.36851
"1155",1155,0.36882
"1156",1156,0.36896
"1157",1157,0.36928
"1158",1158,0.36993
"1159",1159,0.37037
"1160",1160,0.37087
"1161",1161,0.3712
"1162",1162,0.37139
"1163",1163,0.37143
"1164",1164,0.37165
"1165",1165,0.37175
"1166",1166,0.37222
"1167",1167,0.37277
"1168",1168,0.37315
"1169",1169,0.37371
"1170",1170,0.37399
"1171",1171,0.37412
"1172",1172,0.37426
"1173",1173,0.3746
"1174",1174,0.37537
"1175",1175,0.37618
"1176",1176,0.37682
"1177",1177,0.37756
"1178",1178,0.37817
"1179",1179,0.3786
"1180",1180,0.3788
"1181",1181,0.37934
"1182",1182,0.37978
"1183",1183,0.3799
"1184",1184,0.38071
"1185",1185,0.38173
"1186",1186,0.38248
"1187",1187,0.3836
"1188",1188,0.38471
"1189",1189,0.38519
"1190",1190,0.38569
"1191",1191,0.3864
"1192",1192,0.38683
"1193",1193,0.38757
"1194",1194,0.38834
"1195",1195,0.38877
"1196",1196,0.38866
"1197",1197,0.38908
"1198",1198,0.38937
"1199",1199,0.39015
"1200",1200,0.3914
"1201",1201,0.39213
"1202",1202,0.39269
"1203",1203,0.39301
"1204",1204,0.39295
"1205",1205,0.39341
"1206",1206,0.39435
"1207",1207,0.39523
"1208",1208,0.39633
"1209",1209,0.3971
"1210",1210,0.3971
"1211",1211,0.39701
"1212",1212,0.39694
"1213",1213,0.39705
"1214",1214,0.39739
"1215",1215,0.39833
"1216",1216,0.39878
"1217",1217,0.39915
"1218",1218,0.39934
"1219",1219,0.3995
"1220",1220,0.39947
"1221",1221,0.3996
"1222",1222,0.39991
"1223",1223,0.3997
"1224",1224,0.39965
"1225",1225,0.39988
"1226",1226,0.39989
"1227",1227,0.40048
"1228",1228,0.40094
"1229",1229,0.40047
"1230",1230,0.3999
"1231",1231,0.39918
"1232",1232,0.3985
"1233",1233,0.39799
"1234",1234,0.39725
"1235",1235,0.39645
"1236",1236,0.39531
"1237",1237,0.39423
"1238",1238,0.3931
"1239",1239,0.39225
"1240",1240,0.3909
"1241",1241,0.38935
"1242",1242,0.38774
"1243",1243,0.38593
"1244",1244,0.38435
"1245",1245,0.38313
"1246",1246,0.38182
"1247",1247,0.38045
"1248",1248,0.379
"1249",1249,0.37724
"1250",1250,0.37576
"1251",1251,0.37387
"1252",1252,0.37222
"1253",1253,0.37123
"1254",1254,0.36912
"1255",1255,0.36754
"1256",1256,0.36576
"1257",1257,0.36311
"1258",1258,0.36113
"1259",1259,0.35975
"1260",1260,0.35803
"1261",1261,0.35652
"1262",1262,0.35504
"1263",1263,0.35364
"1264",1264,0.35167
"1265",1265,0.34974
"1266",1266,0.34812
"1267",1267,0.34637
"1268",1268,0.34508
"1269",1269,0.34436
"1270",1270,0.34343
"1271",1271,0.34217
"1272",1272,0.34075
"1273",1273,0.33962
"1274",1274,0.33848
"1275",1275,0.33746
"1276",1276,0.33701
"1277",1277,0.33612
"1278",1278,0.33502
"1279",1279,0.33399
"1280",1280,0.33263
"1281",1281,0.33163
"1282",1282,0.33063
"1283",1283,0.3298
"1284",1284,0.32948
"1285",1285,0.32897
"1286",1286,0.32858
"1287",1287,0.32799
"1288",1288,0.32703
"1289",1289,0.32631
"1290",1290,0.32579
"1291",1291,0.32467
"1292",1292,0.32372
"1293",1293,0.32343
"1294",1294,0.32226
"1295",1295,0.32142
"1296",1296,0.32137
"1297",1297,0.32068
"1298",1298,0.32019
"1299",1299,0.31982
"1300",1300,0.31879
"1301",1301,0.31727
"1302",1302,0.31572
"1303",1303,0.31475
"1304",1304,0.31399
"1305",1305,0.31365
"1306",1306,0.31357
"1307",1307,0.31295
"1308",1308,0.31229
"1309",1309,0.31213
"1310",1310,0.31206
"1311",1311,0.31262
"1312",1312,0.31239
"1313",1313,0.31154
"1314",1314,0.31122
"1315",1315,0.31039
"1316",1316,0.31052
"1317",1317,0.31206
"1318",1318,0.31315
"1319",1319,0.31456
"1320",1320,0.31512
"1321",1321,0.31559
"1322",1322,0.31494
"1323",1323,0.31365
"1324",1324,0.31373
"1325",1325,0.31433
