"","wavelength","pasture_mean_reflectance"
"712",712,0.423328
"713",713,0.422724
"714",714,0.422106
"715",715,0.421469
"716",716,0.420824
"717",717,0.420145
"718",718,0.41943
"719",719,0.418727
"720",720,0.41801
"721",721,0.417292
"722",722,0.416535
"723",723,0.415756
"724",724,0.414952
"725",725,0.414117
"726",726,0.413282
"727",727,0.412424
"728",728,0.411556
"729",729,0.41067
"730",730,0.409776
"731",731,0.408909
"732",732,0.408024
"733",733,0.407151
"734",734,0.406305
"735",735,0.405445
"736",736,0.404568
"737",737,0.403704
"738",738,0.402807
"739",739,0.40189
"740",740,0.400943
"741",741,0.399982
"742",742,0.398991
"743",743,0.397967
"744",744,0.396924
"745",745,0.395859
"746",746,0.39476
"747",747,0.393635
"748",748,0.392492
"749",749,0.391311
"750",750,0.39013
"751",751,0.388929
"752",752,0.387733
"753",753,0.386532
"754",754,0.385323
"755",755,0.384109
"756",756,0.382895
"757",757,0.381664
"758",758,0.380452
"759",759,0.379229
"760",760,0.378041
"761",761,0.376857
"762",762,0.375711
"763",763,0.374593
"764",764,0.373502
"765",765,0.372445
"766",766,0.371415
"767",767,0.370403
"768",768,0.369452
"769",769,0.368534
"770",770,0.367659
"771",771,0.366846
"772",772,0.366022
"773",773,0.365244
"774",774,0.3645
"775",775,0.36377
"776",776,0.363081
"777",777,0.362416
"778",778,0.361774
"779",779,0.361171
"780",780,0.360606
"781",781,0.360095
"782",782,0.359629
"783",783,0.359184
"784",784,0.358774
"785",785,0.358398
"786",786,0.358054
"787",787,0.357749
"788",788,0.357487
"789",789,0.357264
"790",790,0.357089
"791",791,0.356933
"792",792,0.356824
"793",793,0.35672
"794",794,0.356635
"795",795,0.356567
"796",796,0.356506
"797",797,0.356476
"798",798,0.356483
"799",799,0.356492
"800",800,0.356532
"801",801,0.356573
"802",802,0.356616
"803",803,0.356664
"804",804,0.356723
"805",805,0.35678
"806",806,0.356834
"807",807,0.356892
"808",808,0.356975
"809",809,0.357037
"810",810,0.357086
"811",811,0.357129
"812",812,0.357145
"813",813,0.357151
"814",814,0.357154
"815",815,0.357136
"816",816,0.357122
"817",817,0.357107
"818",818,0.357081
"819",819,0.357012
"820",820,0.356904
"821",821,0.356752
"822",822,0.356606
"823",823,0.356477
"824",824,0.356294
"825",825,0.356088
"826",826,0.355844
"827",827,0.355541
"828",828,0.355218
"829",829,0.354883
"830",830,0.354487
"831",831,0.354051
"832",832,0.354559
"833",833,0.35398
"834",834,0.353221
"835",835,0.352268
"836",836,0.351437
"837",837,0.350678
"838",838,0.349746
"839",839,0.348803
"840",840,0.347629
"841",841,0.346292
"842",842,0.344874
"843",843,0.343335
"844",844,0.34179
"845",845,0.340124
"846",846,0.338217
"847",847,0.336244
"848",848,0.33418
"849",849,0.331894
"850",850,0.329527
"851",851,0.326938
"852",852,0.324152
"853",853,0.321129
"854",854,0.317943
"855",855,0.314651
"856",856,0.311205
"857",857,0.307488
"858",858,0.303598
"859",859,0.299544
"860",860,0.295239
"861",861,0.290665
"862",862,0.285964
"863",863,0.281026
"864",864,0.275865
"865",865,0.270656
"866",866,0.265142
"867",867,0.259407
"868",868,0.253508
"869",869,0.247344
"870",870,0.240791
"871",871,0.234245
"872",872,0.22763
"873",873,0.220747
"874",874,0.213835
"875",875,0.206884
"876",876,0.199931
"877",877,0.192871
"878",878,0.185934
"879",879,0.178984
"880",880,0.172133
"881",881,0.165268
"882",882,0.158468
"883",883,0.151898
"884",884,0.14535
"885",885,0.139081
"886",886,0.132984
"887",887,0.1270924
"888",888,0.1213453
"889",889,0.1158433
"890",890,0.1104049
"891",891,0.105401
"892",892,0.1007157
"893",893,0.096281
"894",894,0.092174
"895",895,0.0885026
"896",896,0.0849741
"897",897,0.0816644
"898",898,0.0786282
"899",899,0.0758888
"900",900,0.0733723
"901",901,0.0712354
"902",902,0.0691573
"903",903,0.0672984
"904",904,0.0655553
"905",905,0.0639669
"906",906,0.0624609
"907",907,0.0612098
"908",908,0.0602898
"909",909,0.059292
"910",910,0.0584001
"911",911,0.0575845
"912",912,0.0567939
"913",913,0.0560796
"914",914,0.0555007
"915",915,0.0550916
"916",916,0.0546791
"917",917,0.0543754
"918",918,0.0540289
"919",919,0.0537017
"920",920,0.0534201
"921",921,0.0531134
"922",922,0.0528947
"923",923,0.05276
"924",924,0.0526427
"925",925,0.052597
"926",926,0.0526622
"927",927,0.0526395
"928",928,0.052611
"929",929,0.0526298
"930",930,0.0526026
"931",931,0.052651
"932",932,0.0527933
"933",933,0.0529316
"934",934,0.0530884
"935",935,0.0532532
"936",936,0.0534519
"937",937,0.0536661
"938",938,0.0539308
"939",939,0.0542527
"940",940,0.0545539
"941",941,0.0549165
"942",942,0.0552272
"943",943,0.0554271
"944",944,0.0557534
"945",945,0.0561252
"946",946,0.056519
"947",947,0.0569563
"948",948,0.0575221
"949",949,0.0579891
"950",950,0.058382
"951",951,0.0588803
"952",952,0.0594128
"953",953,0.0599518
"954",954,0.0605896
"955",955,0.061171
"956",956,0.0617339
"957",957,0.0622486
"958",958,0.0628285
"959",959,0.0634124
"960",960,0.0640135
"961",961,0.0646478
"962",962,0.0652814
"963",963,0.0659484
"964",964,0.0665728
"965",965,0.0671462
"966",966,0.0677891
"967",967,0.0684511
"968",968,0.069078
"969",969,0.0698088
"970",970,0.0706841
"971",971,0.0714227
"972",972,0.0721446
"973",973,0.072861
"974",974,0.0734576
"975",975,0.0741826
"976",976,0.0749673
"977",977,0.0757797
"978",978,0.0766915
"979",979,0.0775973
"980",980,0.0784276
"981",981,0.0792192
"982",982,0.0800444
"983",983,0.0807944
"984",984,0.081632
"985",985,0.0825813
"986",986,0.0834569
"987",987,0.0843155
"988",988,0.0851844
"989",989,0.0860682
"990",990,0.0868582
"991",991,0.0877224
"992",992,0.0886014
"993",993,0.0895005
"994",994,0.0904521
"995",995,0.0913598
"996",996,0.0922671
"997",997,0.0931721
"998",998,0.0940307
"999",999,0.09494
"1000",1000,0.0958902
"1001",1001,0.0968556
"1002",1002,0.0977979
"1003",1003,0.0986541
"1004",1004,0.0995777
"1005",1005,0.100485
"1006",1006,0.101418
"1007",1007,0.1024265
"1008",1008,0.1033761
"1009",1009,0.1042745
"1010",1010,0.1051941
"1011",1011,0.1061094
"1012",1012,0.1070203
"1013",1013,0.1079164
"1014",1014,0.1088561
"1015",1015,0.109814
"1016",1016,0.1108129
"1017",1017,0.111768
"1018",1018,0.1127735
"1019",1019,0.1136669
"1020",1020,0.1144289
"1021",1021,0.1152979
"1022",1022,0.1161501
"1023",1023,0.117041
"1024",1024,0.1180352
"1025",1025,0.1189803
"1026",1026,0.1198622
"1027",1027,0.1207677
"1028",1028,0.1216508
"1029",1029,0.122504
"1030",1030,0.1233887
"1031",1031,0.1242971
"1032",1032,0.1251723
"1033",1033,0.1260345
"1034",1034,0.1268949
"1035",1035,0.1277606
"1036",1036,0.128609
"1037",1037,0.129375
"1038",1038,0.13022
"1039",1039,0.131006
"1040",1040,0.131744
"1041",1041,0.132562
"1042",1042,0.133463
"1043",1043,0.134291
"1044",1044,0.135136
"1045",1045,0.135957
"1046",1046,0.136701
"1047",1047,0.137506
"1048",1048,0.138364
"1049",1049,0.139176
"1050",1050,0.13999
"1051",1051,0.140775
"1052",1052,0.141466
"1053",1053,0.142241
"1054",1054,0.143023
"1055",1055,0.1438
"1056",1056,0.14463
"1057",1057,0.145525
"1058",1058,0.146356
"1059",1059,0.147208
"1060",1060,0.148026
"1061",1061,0.148779
"1062",1062,0.149584
"1063",1063,0.150423
"1064",1064,0.151277
"1065",1065,0.152165
"1066",1066,0.15306
"1067",1067,0.153913
"1068",1068,0.154714
"1069",1069,0.155578
"1070",1070,0.15644
"1071",1071,0.157304
"1072",1072,0.15822
"1073",1073,0.159113
"1074",1074,0.159999
"1075",1075,0.160895
"1076",1076,0.161756
"1077",1077,0.162528
"1078",1078,0.16324
"1079",1079,0.163993
"1080",1080,0.164834
"1081",1081,0.165737
"1082",1082,0.166577
"1083",1083,0.167437
"1084",1084,0.168248
"1085",1085,0.168913
"1086",1086,0.169736
"1087",1087,0.170607
"1088",1088,0.171574
"1089",1089,0.172601
"1090",1090,0.173466
"1091",1091,0.174232
"1092",1092,0.175004
"1093",1093,0.175756
"1094",1094,0.176618
"1095",1095,0.177439
"1096",1096,0.178279
"1097",1097,0.179103
"1098",1098,0.179893
"1099",1099,0.180713
"1100",1100,0.181555
"1101",1101,0.182411
"1102",1102,0.183318
"1103",1103,0.184192
"1104",1104,0.18496
"1105",1105,0.185806
"1106",1106,0.186603
"1107",1107,0.18723
"1108",1108,0.188007
"1109",1109,0.188823
"1110",1110,0.189643
"1111",1111,0.190548
"1112",1112,0.191375
"1113",1113,0.192186
"1114",1114,0.192963
"1115",1115,0.193671
"1116",1116,0.194362
"1117",1117,0.195139
"1118",1118,0.195881
"1119",1119,0.196609
"1120",1120,0.197383
"1121",1121,0.19815
"1122",1122,0.198912
"1123",1123,0.199783
"1124",1124,0.200623
"1125",1125,0.201372
"1126",1126,0.20209
"1127",1127,0.202783
"1128",1128,0.203328
"1129",1129,0.203972
"1130",1130,0.204643
"1131",1131,0.20536
"1132",1132,0.206011
"1133",1133,0.206687
"1134",1134,0.207336
"1135",1135,0.207828
"1136",1136,0.208333
"1137",1137,0.208928
"1138",1138,0.209466
"1139",1139,0.209997
"1140",1140,0.210601
"1141",1141,0.21121
"1142",1142,0.211731
"1143",1143,0.212189
"1144",1144,0.212685
"1145",1145,0.213153
"1146",1146,0.213548
"1147",1147,0.21407
"1148",1148,0.214674
"1149",1149,0.215149
"1150",1150,0.215569
"1151",1151,0.215898
"1152",1152,0.216233
"1153",1153,0.216639
"1154",1154,0.216987
"1155",1155,0.217397
"1156",1156,0.217784
"1157",1157,0.218108
"1158",1158,0.218497
"1159",1159,0.21879
"1160",1160,0.218965
"1161",1161,0.219213
"1162",1162,0.219473
"1163",1163,0.21968
"1164",1164,0.21993
"1165",1165,0.220324
"1166",1166,0.220482
"1167",1167,0.220624
"1168",1168,0.220855
