"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"96",96000,499.892962962963,634.564285714286,842.242,598.133846153846,544.843333333333,679.979444444444,716.084444444444,736.64,459.301666666667,513.013333333333,389.766666666667,451.715,438.86,387.4,680.54,441.8
"97",97000,499.886388888889,634.164285714286,841.706,598.06,544.752777777778,679.893055555556,715.955555555556,736.59,459.21,512.9475,389.75,451.685,438.84,387.36,680.89,441.705
"98",98000,499.872592592593,633.815714285714,841.191,597.906923076923,544.605,679.799166666667,715.791666666667,736.62,459.078333333333,512.873333333333,389.756666666667,451.58,438.81,387.31,681.26,441.565
"99",99000,499.863796296296,633.378571428571,840.64,597.732307692308,544.438888888889,679.724444444444,715.547777777778,736.67,459.006666666667,512.800833333333,389.796666666667,451.515,438.73,387.24,681.46,441.555
"100",1e+05,499.84037037037,632.967142857143,839.935,597.573076923077,544.275,679.652777777778,715.272777777778,736.69,458.963333333333,512.74,389.79,451.405,438.63,387.2,681.67,441.475
"101",101000,499.818055555556,632.548571428571,839.24,597.396153846154,544.081666666667,679.550277777778,714.981666666667,736.79,458.881666666667,512.6925,389.693333333333,451.285,438.55,387.11,681.93,441.43
"102",102000,499.841203703704,632.024285714286,838.674,597.199230769231,543.883888888889,679.458333333333,714.658333333333,737.04,458.875,512.605833333333,389.66,451.265,438.5,386.98,682.19,441.455
"103",103000,499.83287037037,631.491428571429,837.989,597.026153846154,543.671111111111,679.350277777778,714.362222222222,737.17,458.875,512.5225,389.633333333333,451.23,438.4,386.82,682.5,441.345
"104",104000,499.823611111111,630.935714285714,837.329,596.868461538461,543.480555555555,679.211111111111,714.078333333333,737.24,458.815,512.450833333333,389.596666666667,451.2,438.31,386.73,682.81,441.26
"105",105000,499.814722222222,630.307142857143,836.751,596.729230769231,543.303888888889,679.058055555555,713.836666666667,737.3,458.703333333333,512.3675,389.636666666667,451.24,438.19,386.66,683.08,441.155
"106",106000,499.804351851852,629.738571428572,836.101,596.534615384615,543.112222222222,678.888333333333,713.539444444444,737.3,458.628333333333,512.2775,389.613333333333,451.23,438.09,386.6,683.42,441.08
"107",107000,499.792685185185,629.205714285714,835.353,596.376153846154,542.938888888889,678.660833333333,713.244444444444,737.17,458.535,512.229166666667,389.52,451.205,437.97,386.61,683.9,440.995
"108",108000,499.766111111111,628.604285714286,834.669,596.150769230769,542.742777777778,678.476944444444,712.913888888889,737.14,458.456666666667,512.131666666667,389.466666666667,451.13,437.9,386.57,684.19,440.91
"109",109000,499.729351851852,628.015714285714,834.037,595.818461538462,542.530555555556,678.333333333333,712.530555555556,737.11,458.4,511.979166666667,389.43,451.03,437.93,386.5,684.36,440.825
"110",110000,499.698240740741,627.365714285714,833.339,595.573076923077,542.297777777778,678.1425,712.172222222222,737.1,458.338333333333,511.859166666667,389.366666666667,450.915,437.89,386.44,684.6,440.775
"111",111000,499.665277777778,626.654285714286,832.647,595.38,542.036666666667,677.951111111111,711.841666666667,737.14,458.29,511.734166666667,389.283333333333,450.735,437.83,386.42,684.8,440.755
"112",112000,499.636111111111,625.944285714286,831.882,595.1,541.800555555556,677.740833333333,711.444444444444,737.19,458.221666666667,511.62,389.213333333333,450.61,437.78,386.33,685.04,440.72
"113",113000,499.573888888889,625.201428571429,831.073,594.839230769231,541.515,677.481388888889,711.025,737.19,458.133333333333,511.52,389.126666666667,450.44,437.67,386.18,685.22,440.685
"114",114000,499.524166666667,624.414285714286,830.285,594.551538461538,541.242222222222,677.213333333333,710.629444444444,737.19,458.068333333333,511.394166666667,389.03,450.34,437.47,386.04,685.5,440.685
"115",115000,499.503333333333,623.621428571429,829.41,594.218461538462,540.991666666667,676.918333333333,710.156666666667,737.2,458.005,511.263333333333,388.966666666667,450.305,437.46,385.92,685.8,440.61
"116",116000,499.444537037037,622.785714285714,828.488,593.872307692308,540.703333333333,676.597777777778,709.656111111111,737.12,457.911666666667,511.125833333333,388.893333333333,450.21,437.43,385.93,685.96,440.42
"117",117000,499.375833333333,621.9,827.609,593.509230769231,540.42,676.255833333333,709.194444444444,737.05,457.816666666667,510.984166666667,388.846666666667,450.14,437.25,385.91,686.11,440.275
"118",118000,499.341851851852,620.938571428571,826.611,593.103846153846,540.081111111111,675.834166666667,708.665,737.02,457.71,510.878333333333,388.853333333333,450.045,437.19,385.86,686.36,440.16
"119",119000,499.275462962963,619.887142857143,825.466,592.640769230769,539.716111111111,675.373333333333,708.088888888889,736.91,457.608333333333,510.725833333333,388.85,449.945,437.08,385.76,686.57,440.03
