"","wavelength","hc_mean_reflectance"
"1005",1005,0.16715
"1006",1006,0.16827
"1007",1007,0.16932
"1008",1008,0.17036
"1009",1009,0.17138
"1010",1010,0.17239
"1011",1011,0.17328
"1012",1012,0.17433
"1013",1013,0.1754
"1014",1014,0.17653
"1015",1015,0.1776
"1016",1016,0.17873
"1017",1017,0.17971
"1018",1018,0.1805
"1019",1019,0.18148
"1020",1020,0.18257
"1021",1021,0.18359
"1022",1022,0.18468
"1023",1023,0.18569
"1024",1024,0.18669
"1025",1025,0.18739
"1026",1026,0.18829
"1027",1027,0.18927
"1028",1028,0.19013
"1029",1029,0.19097
"1030",1030,0.19182
"1031",1031,0.1926
"1032",1032,0.19344
"1033",1033,0.19433
"1034",1034,0.19519
"1035",1035,0.19617
"1036",1036,0.19689
"1037",1037,0.19742
"1038",1038,0.1983
"1039",1039,0.19879
"1040",1040,0.19928
"1041",1041,0.20015
"1042",1042,0.20141
"1043",1043,0.20225
"1044",1044,0.20331
"1045",1045,0.204
"1046",1046,0.20406
"1047",1047,0.20455
"1048",1048,0.20502
"1049",1049,0.2058
"1050",1050,0.20667
"1051",1051,0.20752
"1052",1052,0.20845
"1053",1053,0.20927
"1054",1054,0.20996
"1055",1055,0.21054
"1056",1056,0.21113
"1057",1057,0.21146
"1058",1058,0.21212
"1059",1059,0.21306
"1060",1060,0.21383
"1061",1061,0.21467
"1062",1062,0.21551
"1063",1063,0.2161
"1064",1064,0.21649
"1065",1065,0.2172
"1066",1066,0.21784
"1067",1067,0.21853
"1068",1068,0.21942
"1069",1069,0.22022
"1070",1070,0.22087
"1071",1071,0.22165
"1072",1072,0.22262
"1073",1073,0.22329
"1074",1074,0.22379
"1075",1075,0.22455
"1076",1076,0.22489
"1077",1077,0.22521
"1078",1078,0.2259
"1079",1079,0.22644
"1080",1080,0.22722
"1081",1081,0.22824
"1082",1082,0.22893
"1083",1083,0.22945
"1084",1084,0.23007
"1085",1085,0.23048
"1086",1086,0.23103
"1087",1087,0.23175
"1088",1088,0.23249
"1089",1089,0.23288
"1090",1090,0.23317
"1091",1091,0.23357
"1092",1092,0.234
"1093",1093,0.2346
"1094",1094,0.23538
"1095",1095,0.23612
"1096",1096,0.23691
"1097",1097,0.23761
"1098",1098,0.23847
"1099",1099,0.23906
"1100",1100,0.23945
"1101",1101,0.23978
"1102",1102,0.24025
"1103",1103,0.24064
"1104",1104,0.24123
"1105",1105,0.24188
"1106",1106,0.24244
"1107",1107,0.24291
"1108",1108,0.24331
"1109",1109,0.24382
"1110",1110,0.24425
"1111",1111,0.24465
"1112",1112,0.24504
"1113",1113,0.24528
"1114",1114,0.24573
"1115",1115,0.24633
"1116",1116,0.24687
"1117",1117,0.24727
"1118",1118,0.2479
"1119",1119,0.2483
"1120",1120,0.24859
"1121",1121,0.24949
"1122",1122,0.25019
"1123",1123,0.25049
"1124",1124,0.25096
"1125",1125,0.25122
"1126",1126,0.25089
"1127",1127,0.25124
"1128",1128,0.25197
"1129",1129,0.25239
"1130",1130,0.25299
"1131",1131,0.25335
"1132",1132,0.25362
"1133",1133,0.25405
"1134",1134,0.25419
"1135",1135,0.25471
"1136",1136,0.25509
"1137",1137,0.25487
"1138",1138,0.25513
"1139",1139,0.25544
"1140",1140,0.25548
"1141",1141,0.25612
"1142",1142,0.2564
"1143",1143,0.25637
"1144",1144,0.25651
"1145",1145,0.2567
"1146",1146,0.2567
"1147",1147,0.25684
"1148",1148,0.25746
"1149",1149,0.25771
"1150",1150,0.25767
"1151",1151,0.2577
"1152",1152,0.25762
"1153",1153,0.25756
"1154",1154,0.25786
"1155",1155,0.25813
"1156",1156,0.25832
"1157",1157,0.25852
"1158",1158,0.25829
"1159",1159,0.25825
"1160",1160,0.25808
"1161",1161,0.25817
"1162",1162,0.25835
"1163",1163,0.25885
"1164",1164,0.25915
"1165",1165,0.25932
"1166",1166,0.25955
"1167",1167,0.25951
"1168",1168,0.25943
"1169",1169,0.25955
"1170",1170,0.25934
"1171",1171,0.25922
"1172",1172,0.25949
"1173",1173,0.25961
"1174",1174,0.25985
"1175",1175,0.25995
"1176",1176,0.26
"1177",1177,0.25992
"1178",1178,0.25989
"1179",1179,0.25969
"1180",1180,0.25991
"1181",1181,0.2602
"1182",1182,0.25993
"1183",1183,0.25992
"1184",1184,0.25997
"1185",1185,0.25967
"1186",1186,0.25967
"1187",1187,0.25977
"1188",1188,0.25988
"1189",1189,0.26032
"1190",1190,0.26076
"1191",1191,0.26104
"1192",1192,0.26117
"1193",1193,0.26095
"1194",1194,0.26079
"1195",1195,0.26081
"1196",1196,0.26105
"1197",1197,0.26105
"1198",1198,0.26095
"1199",1199,0.26113
"1200",1200,0.26134
"1201",1201,0.26151
"1202",1202,0.26218
"1203",1203,0.26228
"1204",1204,0.26191
"1205",1205,0.26199
"1206",1206,0.26177
"1207",1207,0.26185
"1208",1208,0.26235
"1209",1209,0.26218
"1210",1210,0.26194
"1211",1211,0.26195
"1212",1212,0.26171
"1213",1213,0.26192
"1214",1214,0.26194
"1215",1215,0.26198
"1216",1216,0.26185
"1217",1217,0.26161
"1218",1218,0.26122
"1219",1219,0.26133
"1220",1220,0.26166
"1221",1221,0.26202
"1222",1222,0.26249
"1223",1223,0.26226
"1224",1224,0.2618
"1225",1225,0.26147
"1226",1226,0.26113
"1227",1227,0.26109
"1228",1228,0.26115
"1229",1229,0.26105
"1230",1230,0.26075
"1231",1231,0.26036
"1232",1232,0.26021
"1233",1233,0.26034
"1234",1234,0.26044
"1235",1235,0.26019
"1236",1236,0.25972
"1237",1237,0.25928
"1238",1238,0.25848
"1239",1239,0.25788
"1240",1240,0.25776
"1241",1241,0.25745
"1242",1242,0.25724
"1243",1243,0.25717
"1244",1244,0.25717
"1245",1245,0.25716
"1246",1246,0.25698
"1247",1247,0.25629
"1248",1248,0.25513
"1249",1249,0.25432
"1250",1250,0.25337
"1251",1251,0.25285
"1252",1252,0.25288
"1253",1253,0.25241
"1254",1254,0.25222
"1255",1255,0.252
"1256",1256,0.25149
"1257",1257,0.25071
"1258",1258,0.2501
"1259",1259,0.24905
"1260",1260,0.24858
"1261",1261,0.24866
"1262",1262,0.24832
"1263",1263,0.24806
"1264",1264,0.24779
"1265",1265,0.24701
"1266",1266,0.2457
"1267",1267,0.245
"1268",1268,0.2446
"1269",1269,0.24367
"1270",1270,0.24298
"1271",1271,0.24216
"1272",1272,0.2413
"1273",1273,0.2417
"1274",1274,0.24228
"1275",1275,0.24203
"1276",1276,0.24166
"1277",1277,0.24107
"1278",1278,0.24
"1279",1279,0.23939
"1280",1280,0.2393
"1281",1281,0.23903
"1282",1282,0.23887
"1283",1283,0.23842
"1284",1284,0.23784
"1285",1285,0.23709
"1286",1286,0.23574
"1287",1287,0.235
"1288",1288,0.23455
"1289",1289,0.23438
"1290",1290,0.23472
"1291",1291,0.23478
"1292",1292,0.2347
"1293",1293,0.2341
"1294",1294,0.23306
"1295",1295,0.23206
"1296",1296,0.2308
"1297",1297,0.22991
"1298",1298,0.22959
"1299",1299,0.22919
"1300",1300,0.22923
"1301",1301,0.22919
"1302",1302,0.22839
"1303",1303,0.22778
"1304",1304,0.22693
"1305",1305,0.22601
"1306",1306,0.22551
"1307",1307,0.22485
"1308",1308,0.22478
"1309",1309,0.22497
"1310",1310,0.2247
"1311",1311,0.22431
"1312",1312,0.22385
"1313",1313,0.2229
"1314",1314,0.22241
"1315",1315,0.2224
"1316",1316,0.22209
"1317",1317,0.22153
"1318",1318,0.22114
"1319",1319,0.2207
"1320",1320,0.22037
"1321",1321,0.22017
"1322",1322,0.22037
"1323",1323,0.21997
"1324",1324,0.21912
"1325",1325,0.21821
"1326",1326,0.21773
