wavelength,mean_deciduous_reflectance,sitka_mean_reflectance,pasture_mean_reflectance,moss_mean_reflectance,rho_mean_reflectance,grass_mean_reflectance,br_mean_reflectance,ash_mean_reflectance,alder_mean_reflectance,birch_mean_reflectance,beech_mean_reflectance,haz_mean_reflectance,hc_mean_reflectance,lime_mean_reflectance,rowan_mean_reflectance,syc_mean_reflectance
443,0.4998925,0.635295714,0.843165,0.598255385,0.54511,0.680055278,0.716426111,0.7366,0.4594,0.513144167,0.389823333,0.45188,0.43904,0.38743,0.67978,0.441935
444,0.499885093,0.634972857,0.842751,0.598178462,0.544962778,0.680038889,0.716247222,0.73665,0.459368333,0.513074167,0.389783333,0.45176,0.43896,0.38745,0.68012,0.4418
445,0.499892963,0.634564286,0.842242,0.598133846,0.544843333,0.679979444,0.716084444,0.73664,0.459301667,0.513013333,0.389766667,0.451715,0.43886,0.3874,0.68054,0.4418
446,0.499886389,0.634164286,0.841706,0.59806,0.544752778,0.679893056,0.715955556,0.73659,0.45921,0.5129475,0.38975,0.451685,0.43884,0.38736,0.68089,0.441705
447,0.499872593,0.633815714,0.841191,0.597906923,0.544605,0.679799167,0.715791667,0.73662,0.459078333,0.512873333,0.389756667,0.45158,0.43881,0.38731,0.68126,0.441565
448,0.499863796,0.633378571,0.84064,0.597732308,0.544438889,0.679724444,0.715547778,0.73667,0.459006667,0.512800833,0.389796667,0.451515,0.43873,0.38724,0.68146,0.441555
449,0.49984037,0.632967143,0.839935,0.597573077,0.544275,0.679652778,0.715272778,0.73669,0.458963333,0.51274,0.38979,0.451405,0.43863,0.3872,0.68167,0.441475
450,0.499818056,0.632548571,0.83924,0.597396154,0.544081667,0.679550278,0.714981667,0.73679,0.458881667,0.5126925,0.389693333,0.451285,0.43855,0.38711,0.68193,0.44143
451,0.499841204,0.632024286,0.838674,0.597199231,0.543883889,0.679458333,0.714658333,0.73704,0.458875,0.512605833,0.38966,0.451265,0.4385,0.38698,0.68219,0.441455
452,0.49983287,0.631491429,0.837989,0.597026154,0.543671111,0.679350278,0.714362222,0.73717,0.458875,0.5125225,0.389633333,0.45123,0.4384,0.38682,0.6825,0.441345
453,0.499823611,0.630935714,0.837329,0.596868462,0.543480556,0.679211111,0.714078333,0.73724,0.458815,0.512450833,0.389596667,0.4512,0.43831,0.38673,0.68281,0.44126
454,0.499814722,0.630307143,0.836751,0.596729231,0.543303889,0.679058056,0.713836667,0.7373,0.458703333,0.5123675,0.389636667,0.45124,0.43819,0.38666,0.68308,0.441155
455,0.499804352,0.629738571,0.836101,0.596534615,0.543112222,0.678888333,0.713539444,0.7373,0.458628333,0.5122775,0.389613333,0.45123,0.43809,0.3866,0.68342,0.44108
456,0.499792685,0.629205714,0.835353,0.596376154,0.542938889,0.678660833,0.713244444,0.73717,0.458535,0.512229167,0.38952,0.451205,0.43797,0.38661,0.6839,0.440995
457,0.499766111,0.628604286,0.834669,0.596150769,0.542742778,0.678476944,0.712913889,0.73714,0.458456667,0.512131667,0.389466667,0.45113,0.4379,0.38657,0.68419,0.44091
458,0.499729352,0.628015714,0.834037,0.595818462,0.542530556,0.678333333,0.712530556,0.73711,0.4584,0.511979167,0.38943,0.45103,0.43793,0.3865,0.68436,0.440825
459,0.499698241,0.627365714,0.833339,0.595573077,0.542297778,0.6781425,0.712172222,0.7371,0.458338333,0.511859167,0.389366667,0.450915,0.43789,0.38644,0.6846,0.440775
460,0.499665278,0.626654286,0.832647,0.59538,0.542036667,0.677951111,0.711841667,0.73714,0.45829,0.511734167,0.389283333,0.450735,0.43783,0.38642,0.6848,0.440755
461,0.499636111,0.625944286,0.831882,0.5951,0.541800556,0.677740833,0.711444444,0.73719,0.458221667,0.51162,0.389213333,0.45061,0.43778,0.38633,0.68504,0.44072
462,0.499573889,0.625201429,0.831073,0.594839231,0.541515,0.677481389,0.711025,0.73719,0.458133333,0.51152,0.389126667,0.45044,0.43767,0.38618,0.68522,0.440685
463,0.499524167,0.624414286,0.830285,0.594551538,0.541242222,0.677213333,0.710629444,0.73719,0.458068333,0.511394167,0.38903,0.45034,0.43747,0.38604,0.6855,0.440685
464,0.499503333,0.623621429,0.82941,0.594218462,0.540991667,0.676918333,0.710156667,0.7372,0.458005,0.511263333,0.388966667,0.450305,0.43746,0.38592,0.6858,0.44061
465,0.499444537,0.622785714,0.828488,0.593872308,0.540703333,0.676597778,0.709656111,0.73712,0.457911667,0.511125833,0.388893333,0.45021,0.43743,0.38593,0.68596,0.44042
466,0.499375833,0.6219,0.827609,0.593509231,0.54042,0.676255833,0.709194444,0.73705,0.457816667,0.510984167,0.388846667,0.45014,0.43725,0.38591,0.68611,0.440275
467,0.499341852,0.620938571,0.826611,0.593103846,0.540081111,0.675834167,0.708665,0.73702,0.45771,0.510878333,0.388853333,0.450045,0.43719,0.38586,0.68636,0.44016
468,0.499275463,0.619887143,0.825466,0.592640769,0.539716111,0.675373333,0.708088889,0.73691,0.457608333,0.510725833,0.38885,0.449945,0.43708,0.38576,0.68657,0.44003
469,0.499156296,0.618778571,0.824261,0.592126154,0.539318333,0.6748925,0.707515,0.73671,0.457501667,0.510548333,0.388926667,0.449795,0.43682,0.38551,0.6867,0.439895
470,0.499068056,0.617555714,0.82291,0.591566154,0.538894444,0.674326944,0.706827222,0.73656,0.457386667,0.510364167,0.388856667,0.449675,0.4367,0.38545,0.68684,0.43978
471,0.499005278,0.616261429,0.821453,0.590998462,0.538457778,0.67373,0.706084444,0.73632,0.457266667,0.510174167,0.388646667,0.44961,0.43676,0.38554,0.68704,0.43969
472,0.49890713,0.614857143,0.819796,0.590319231,0.537966667,0.673010833,0.705242778,0.7362,0.457146667,0.509945833,0.388596667,0.44947,0.43664,0.38545,0.68715,0.439565
